Team 1,Team 2,Winner,Margin,Ground,Match Date
South Africa,India,India,8 wickets,Centurion,16-02-2018
Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,19-02-2018
New Zealand,England,New Zealand,3 wickets,Hamilton,25-02-2018
New Zealand,England,England,6 wickets,Mount Maunganui,28-02-2018
New Zealand,England,England,4 runs,Wellington,03-03-2018
Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,04-03-2018
P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,04-03-2018
Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,06-03-2018
Ireland,P.N.G.,Ireland,4 wickets,Harare,06-03-2018
U.A.E.,West Indies,West Indies,60 runs,Harare,06-03-2018
Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,06-03-2018
New Zealand,England,New Zealand,5 wickets,Dunedin,07-03-2018
Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,08-03-2018
P.N.G.,West Indies,West Indies,6 wickets,Harare,08-03-2018
New Zealand,England,England,7 wickets,Christchurch,10-03-2018
Ireland,West Indies,West Indies,52 runs,Harare,10-03-2018
Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,10-03-2018
Ireland,U.A.E.,Ireland,226 runs,Harare,12-03-2018
Zimbabwe,Scotland,tied,-,Bulawayo,12-03-2018
Afghanistan,West Indies,Afghanistan,3 wickets,Harare,15-03-2018
Scotland,U.A.E.,Scotland,73 runs,Bulawayo,15-03-2018
Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,16-03-2018
Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,17-03-2018
Ireland,Scotland,Ireland,25 runs,Harare,18-03-2018
Zimbabwe,West Indies,West Indies,4 wickets,Harare,19-03-2018
Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,20-03-2018
Scotland,West Indies,West Indies,5 runs,Harare,21-03-2018
Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,22-03-2018
Afghanistan,Ireland,Afghanistan,5 wickets,Harare,23-03-2018
Afghanistan,West Indies,Afghanistan,7 wickets,Harare,25-03-2018
Scotland,England,Scotland,6 runs,Edinburgh,10-06-2018
England,Australia,England,3 wickets,The Oval,13-06-2018
England,Australia,England,38 runs,Cardiff,16-06-2018
England,Australia,England,242 runs,Nottingham,19-06-2018
England,Australia,England,6 wickets,Chester-le-Street,21-06-2018
England,Australia,England,1 wicket,Manchester,24-06-2018
England,India,India,8 wickets,Nottingham,12-07-2018
Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo,13-07-2018
England,India,England,86 runs,Lord's,14-07-2018
Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,16-07-2018
England,India,England,8 wickets,Leeds,17-07-2018
Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,18-07-2018
Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo,20-07-2018
Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo,22-07-2018
West Indies,Bangladesh,Bangladesh,48 runs,Providence,22-07-2018
West Indies,Bangladesh,West Indies,3 runs,Providence,25-07-2018
West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,28-07-2018
Sri Lanka,South Africa,South Africa,5 wickets,Dambulla,29-07-2018
Netherlands,Nepal,Netherlands,55 runs,Amstelveen,01-08-2018
Sri Lanka,South Africa,South Africa,4 wickets,Dambulla,01-08-2018
Netherlands,Nepal,Nepal,1 run,Amstelveen,03-08-2018
Sri Lanka,South Africa,South Africa,78 runs,Pallekele,05-08-2018
Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele,08-08-2018
Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS),12-08-2018
Ireland,Afghanistan,Afghanistan,29 runs,Belfast,27-08-2018
Ireland,Afghanistan,Ireland,3 wickets,Belfast,29-08-2018
Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,30-08-2018
Ireland,Afghanistan,Afghanistan,8 wickets,Belfast,31-08-2018
Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),15-09-2018
Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC),16-09-2018
Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,17-09-2018
Hong Kong,India,India,26 runs,Dubai (DSC),18-09-2018
India,Pakistan,India,8 wickets,Dubai (DSC),19-09-2018
Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,20-09-2018
Bangladesh,India,India,7 wickets,Dubai (DSC),21-09-2018
Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,21-09-2018
India,Pakistan,India,9 wickets,Dubai (DSC),23-09-2018
Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,23-09-2018
Afghanistan,India,tied,-,Dubai (DSC),25-09-2018
Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,26-09-2018
Bangladesh,India,India,3 wickets,Dubai (DSC),28-09-2018
South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,30-09-2018
South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,03-10-2018
South Africa,Zimbabwe,South Africa,4 wickets,Paarl,06-10-2018
Sri Lanka,England,no result,-,Dambulla,10-10-2018
Sri Lanka,England,England,31 runs,Dambulla,13-10-2018
Sri Lanka,England,England,7 wickets,Pallekele,17-10-2018
Sri Lanka,England,England,18 runs,Pallekele,20-10-2018
India,West Indies,India,8 wickets,Guwahati,21-10-2018
Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,21-10-2018
Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),23-10-2018
India,West Indies,tied,-,Visakhapatnam,24-10-2018
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,24-10-2018
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,26-10-2018
India,West Indies,West Indies,43 runs,Pune,27-10-2018
India,West Indies,India,224 runs,Brabourne,29-10-2018
India,West Indies,India,9 wickets,Thiruvananthapuram,01-11-2018
Australia,South Africa,South Africa,6 wickets,Perth,04-11-2018
New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,07-11-2018
Australia,South Africa,Australia,7 runs,Adelaide,09-11-2018
New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,09-11-2018
Australia,South Africa,South Africa,40 runs,Hobart,11-11-2018
New Zealand,Pakistan,no result,-,Dubai (DSC),11-11-2018
Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,09-12-2018
Bangladesh,West Indies,West Indies,4 wickets,Mirpur,11-12-2018
Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,14-12-2018
New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,03-01-2019
New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,04-01-2019
New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,05-01-2019
Australia,India,Australia,34 runs,Sydney,06-01-2019
Australia,India,India,6 wickets,Adelaide,07-01-2019
Australia,India,India,7 wickets,Melbourne,08-01-2019
South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,09-01-2019
South Africa,Pakistan,South Africa,5 wickets,Durban,10-01-2019
New Zealand,India,India,8 wickets,Napier,11-01-2019
U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,12-01-2019
South Africa,Pakistan,South Africa,13 runs,Centurion,13-01-2019
New Zealand,India,India,90 runs,Mount Maunganui,14-01-2019
U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,15-01-2019
South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,16-01-2019
New Zealand,India,India,7 wickets,Mount Maunganui,17-01-2019
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,18-01-2019
South Africa,Pakistan,South Africa,7 wickets,Cape Town,19-01-2019
New Zealand,India,New Zealand,8 wickets,Hamilton,20-01-2019
New Zealand,India,India,35 runs,Wellington,21-01-2019
New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-02-2019
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-02-2019
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-02-2019
West Indies,England,England,6 wickets,Bridgetown,20-02-2019
West Indies,England,West Indies,26 runs,Bridgetown,22-02-2019
West Indies,England,no result,-,St George's,25-02-2019
West Indies,England,England,29 runs,St George's,27-02-2019
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,28-02-2019
Afghanistan,Ireland,no result,-,Dehradun,02-03-2019
India,Australia,India,6 wickets,Hyderabad,02-03-2019
West Indies,England,West Indies,7 wickets,Gros Islet,02-03-2019
South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,03-03-2019
Afghanistan,Ireland,Ireland,4 wickets,Dehradun,05-03-2019
India,Australia,India,8 runs,Nagpur,05-03-2019
South Africa,Sri Lanka,South Africa,113 runs,Centurion,06-03-2019
Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,08-03-2019
India,Australia,Australia,32 runs,Ranchi,08-03-2019
Afghanistan,Ireland,Ireland,5 wickets,Dehradun,10-03-2019
India,Australia,Australia,4 wickets,Mohali,10-03-2019
South Africa,Sri Lanka,South Africa,71 runs,Durban,10-03-2019
India,Australia,Australia,35 runs,Delhi,13-03-2019
South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha,13-03-2019
South Africa,Sri Lanka,South Africa,41 runs,Cape Town,16-03-2019
Australia,Pakistan,Australia,8 wickets,Sharjah,22-03-2019
Australia,Pakistan,Australia,8 wickets,Sharjah,24-03-2019
Australia,Pakistan,Australia,80 runs,Abu Dhabi,27-03-2019
Australia,Pakistan,Australia,6 runs,Dubai (DSC),29-03-2019
Australia,Pakistan,Australia,20 runs,Dubai (DSC),31-03-2019
Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,01-04-2019
Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,02-04-2019
Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,03-04-2019
Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,04-04-2019
Namibia,Oman,Namibia,145 runs,Windhoek,05-04-2019
P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,06-04-2019
Ireland,England,England,4 wickets,Dublin (Malahide),07-04-2019
Ireland,West Indies,West Indies,196 runs,Dublin,08-04-2019
Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,09-04-2019
England,Pakistan,no result,-,The Oval,10-04-2019
Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,10-05-2019
Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),11-05-2019
England,Pakistan,England,12 runs,Southampton,11-05-2019
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),13-05-2019
England,Pakistan,England,6 wickets,Bristol,14-05-2019
Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,15-05-2019
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),17-05-2019
England,Pakistan,England,3 wickets,Nottingham,17-05-2019
Ireland,Afghanistan,Ireland,72 runs,Belfast,19-05-2019
England,Pakistan,England,54 runs,Leeds,19-05-2019
Ireland,Afghanistan,Afghanistan,126 runs,Belfast,21-05-2019
Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,21-05-2019
England,South Africa,England,104 runs,The Oval,30-05-2019
Pakistan,West Indies,West Indies,7 wickets,Nottingham,31-05-2019
New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,01-06-2019
Afghanistan,Australia,Australia,7 wickets,Bristol,01-06-2019
Bangladesh,South Africa,Bangladesh,21 runs,The Oval,02-06-2019
England,Pakistan,Pakistan,14 runs,Nottingham,03-06-2019
Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,04-06-2019
India,South Africa,India,6 wickets,Southampton,05-06-2019
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,05-06-2019
Australia,West Indies,Australia,15 runs,Nottingham,06-06-2019
England,Bangladesh,England,106 runs,Cardiff,08-06-2019
Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,08-06-2019
Australia,India,India,36 runs,The Oval,09-06-2019
South Africa,West Indies,no result,-,Southampton,10-06-2019
Australia,Pakistan,Australia,41 runs,Taunton,12-06-2019
England,West Indies,England,8 wickets,Southampton,14-06-2019
Australia,Sri Lanka,Australia,87 runs,The Oval,15-06-2019
Afghanistan,South Africa,South Africa,9 wickets,Cardiff,15-06-2019
India,Pakistan,India,89 runs,Manchester,16-06-2019
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,17-06-2019
England,Afghanistan,England,150 runs,Manchester,18-06-2019
Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer,19-06-2019
New Zealand,South Africa,New Zealand,4 wickets,Birmingham,19-06-2019
Australia,Bangladesh,Australia,48 runs,Nottingham,20-06-2019
Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer,21-06-2019
England,Sri Lanka,Sri Lanka,20 runs,Leeds,21-06-2019
Afghanistan,India,India,11 runs,Southampton,22-06-2019
New Zealand,West Indies,New Zealand,5 runs,Manchester,22-06-2019
Pakistan,South Africa,Pakistan,49 runs,Lord's,23-06-2019
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,24-06-2019
England,Australia,Australia,64 runs,Lord's,25-06-2019
New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,26-06-2019
India,West Indies,India,125 runs,Manchester,27-06-2019
South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,28-06-2019
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,29-06-2019
Australia,New Zealand,Australia,86 runs,Lord's,29-06-2019
England,India,England,31 runs,Birmingham,30-06-2019
Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,01-07-2019
Ireland,Zimbabwe,Ireland,4 wickets,Bready,01-07-2019
Bangladesh,India,India,28 runs,Birmingham,02-07-2019
England,New Zealand,England,119 runs,Chester-le-Street,03-07-2019
Afghanistan,West Indies,West Indies,23 runs,Leeds,04-07-2019
Ireland,Zimbabwe,Ireland,5 runs,Belfast,04-07-2019
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,05-07-2019
India,Sri Lanka,India,7 wickets,Leeds,06-07-2019
Australia,South Africa,South Africa,10 runs,Manchester,06-07-2019
Ireland,Zimbabwe,Ireland,6 wickets,Belfast,07-07-2019
India,New Zealand,New Zealand,18 runs,Manchester,09-07-2019
England,Australia,England,8 wickets,Birmingham,11-07-2019
England,New Zealand,tied,-,Lord's,14-07-2019
Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),26-07-2019
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),28-07-2019
Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),31-07-2019
West Indies,India,no result,-,Providence,08-08-2019
West Indies,India,India,59 runs,Port of Spain,11-08-2019
Oman,P.N.G.,Oman,4 wickets,Aberdeen,14-08-2019
West Indies,India,India,6 wickets,Port of Spain,14-08-2019
Scotland,Oman,Oman,8 wickets,Aberdeen,15-08-2019
Scotland,P.N.G.,Scotland,3 wickets,Aberdeen,17-08-2019
Scotland,Oman,Scotland,85 runs,Aberdeen,18-08-2019
Scotland,P.N.G.,Scotland,38 runs,Aberdeen,20-08-2019
Oman,P.N.G.,Oman,4 wickets,Aberdeen,21-08-2019
U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill,13-09-2019
U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill,17-09-2019
U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill,19-09-2019
U.S.A.,Namibia,Namibia,139 runs,Lauderhill,20-09-2019
Namibia,P.N.G.,Namibia,4 wickets,Lauderhill,22-09-2019
Namibia,P.N.G.,Namibia,27 runs,Lauderhill,23-09-2019
Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,30-09-2019
Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,02-10-2019
Afghanistan,West Indies,West Indies,7 wickets,Lucknow,06-11-2019
Afghanistan,West Indies,West Indies,47 runs,Lucknow,09-11-2019
Afghanistan,West Indies,West Indies,5 wickets,Lucknow,11-11-2019
U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah,08-12-2019
Scotland,U.S.A.,U.S.A.,35 runs,Sharjah,09-12-2019
U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai,12-12-2019
Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai,14-12-2019
U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai,15-12-2019
India,West Indies,West Indies,8 wickets,Chennai,15-12-2019
India,West Indies,India,107 runs,Visakhapatnam,18-12-2019
India,West Indies,India,4 wickets,Cuttack,22-12-2019
Oman,U.A.E.,Oman,5 wickets,Al Amerat,05-01-2020
Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,06-01-2020
West Indies,Ireland,West Indies,5 wickets,Bridgetown,07-01-2020
Oman,Namibia,Namibia,52 runs,Al Amerat,08-01-2020
Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,09-01-2020
West Indies,Ireland,West Indies,1 wicket,Bridgetown,09-01-2020
West Indies,Ireland,West Indies,5 wickets,St George's,12-01-2020
India,Australia,Australia,10 wickets,Wankhede,14-01-2020
India,Australia,India,36 runs,Rajkot,17-01-2020
India,Australia,India,7 wickets,Bengaluru,19-01-2020
South Africa,England,South Africa,7 wickets,Cape Town,04-02-2020
New Zealand,India,New Zealand,4 wickets,Hamilton,05-02-2020
Nepal,Oman,Oman,18 runs,Kirtipur,05-02-2020
Oman,U.S.A.,Oman,6 wickets,Kirtipur,06-02-2020
South Africa,England,no result,-,Durban,07-02-2020
New Zealand,India,New Zealand,22 runs,Auckland,08-02-2020
Nepal,U.S.A.,Nepal,35 runs,Kirtipur,08-02-2020
Nepal,Oman,Oman,8 wickets,Kirtipur,09-02-2020
South Africa,England,England,2 wickets,Johannesburg,09-02-2020
New Zealand,India,New Zealand,5 wickets,Mount Maunganui,11-02-2020
Oman,U.S.A.,Oman,92 runs,Kirtipur,11-02-2020
Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,12-02-2020
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),22-02-2020
Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,26-02-2020
South Africa,Australia,South Africa,74 runs,Paarl,29-02-2020
Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,01-03-2020
Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,01-03-2020
Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,03-03-2020
South Africa,Australia,South Africa,6 wickets,Bloemfontein,04-03-2020
Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,06-03-2020
South Africa,Australia,South Africa,6 wickets,Potchefstroom,07-03-2020
Australia,New Zealand,Australia,71 runs,Sydney,13-03-2020
England,Ireland,England,6 wickets,Southampton,30-07-2020
England,Ireland,England,4 wickets,Southampton,01-08-2020
England,Ireland,Ireland,7 wickets,Southampton,04-08-2020
England,Australia,Australia,19 runs,Manchester,11-09-2020
England,Australia,England,24 runs,Manchester,13-09-2020
England,Australia,Australia,3 wickets,Manchester,16-09-2020
Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,30-10-2020
Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,01-11-2020
Pakistan,Zimbabwe,tied,-,Rawalpindi,03-11-2020
Australia,India,Australia,66 runs,Sydney,27-11-2020
Australia,India,Australia,51 runs,Sydney,29-11-2020
Australia,India,India,13 runs,Canberra,02-12-2020
U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,08-01-2021
U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,18-01-2021
Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,20-01-2021
Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,21-01-2021
Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,22-01-2021
Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,24-01-2021
Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,25-01-2021
Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,26-01-2021
West Indies,Sri Lanka,West Indies,8 wickets,North Sound,10-03-2021
West Indies,Sri Lanka,West Indies,5 wickets,North Sound,12-03-2021
West Indies,Sri Lanka,West Indies,5 wickets,North Sound,14-03-2021
New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,20-03-2021
New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,23-03-2021
India,England,India,66 runs,Pune,23-03-2021
New Zealand,Bangladesh,New Zealand,164 runs,Wellington,26-03-2021
India,England,England,6 wickets,Pune,26-03-2021
India,England,India,7 runs,Pune,28-03-2021
South Africa,Pakistan,Pakistan,3 wickets,Centurion,02-04-2021
South Africa,Pakistan,South Africa,17 runs,Johannesburg,04-04-2021
South Africa,Pakistan,Pakistan,28 runs,Centurion,07-04-2021
Netherlands,Scotland,Netherlands,14 runs,Rotterdam,19-05-2021
Netherlands,Scotland,Scotland,6 wickets,Rotterdam,20-05-2021
Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,23-05-2021
Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,25-05-2021
Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,28-05-2021
Netherlands,Ireland,Netherlands,1 run,Utrecht,02-06-2021
Netherlands,Ireland,Ireland,8 wickets,Utrecht,04-06-2021
Netherlands,Ireland,Netherlands,4 wickets,Utrecht,07-06-2021
England,Sri Lanka,England,5 wickets,Chester-le-Street,29-06-2021
England,Sri Lanka,England,8 wickets,The Oval,01-07-2021
England,Sri Lanka,no result,-,Bristol,04-07-2021
England,Pakistan,England,9 wickets,Cardiff,08-07-2021
England,Pakistan,England,52 runs,Lord's,10-07-2021
Ireland,South Africa,no result,-,Dublin (Malahide),11-07-2021
Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),13-07-2021
England,Pakistan,England,3 wickets,Birmingham,13-07-2021
Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,16-07-2021
Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),16-07-2021
Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,18-07-2021
Sri Lanka,India,India,7 wickets,Colombo (RPS),18-07-2021
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,20-07-2021
Sri Lanka,India,India,3 wickets,Colombo (RPS),20-07-2021
West Indies,Australia,Australia,133 runs,Bridgetown,20-07-2021
Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),23-07-2021
West Indies,Australia,West Indies,4 wickets,Bridgetown,24-07-2021
West Indies,Australia,Australia,6 wickets,Bridgetown,26-07-2021
Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),02-09-2021
Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),04-09-2021
P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,06-09-2021
Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,07-09-2021
Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),07-09-2021
Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,08-09-2021
P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,09-09-2021
Ireland,Zimbabwe,no result,-,Belfast,10-09-2021
Nepal,P.N.G.,Nepal,151 runs,Al Amerat,10-09-2021
Ireland,Zimbabwe,Ireland,7 wickets,Belfast,13-09-2021
Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,13-09-2021
Oman,Nepal,Oman,5 wickets,Al Amerat,14-09-2021
Oman,U.S.A.,Oman,4 wickets,Al Amerat,16-09-2021
Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,17-09-2021
Oman,Nepal,Nepal,7 wickets,Al Amerat,19-09-2021
Oman,U.S.A.,Oman,72 runs,Al Amerat,20-09-2021
P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,25-09-2021
Oman,P.N.G.,Oman,110 runs,Al Amerat,26-09-2021
Oman,Scotland,Scotland,18 runs,Al Amerat,28-09-2021
P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,29-09-2021
Oman,P.N.G.,Oman,3 wickets,Al Amerat,01-10-2021
Oman,Scotland,no result,-,Al Amerat,02-10-2021
Namibia,Oman,Namibia,40 runs,Windhoek,26-11-2021
South Africa,Netherlands,no result,-,Centurion,26-11-2021
Namibia,Oman,Oman,9 runs,Windhoek,27-11-2021
West Indies,Ireland,West Indies,24 runs,Kingston,08-01-2022
West Indies,Ireland,Ireland,5 wickets,Kingston,13-01-2022
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,16-01-2022
West Indies,Ireland,Ireland,2 wickets,Kingston,16-01-2022
Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,18-01-2022
South Africa,India,South Africa,31 runs,Paarl,19-01-2022
Afghanistan,Netherlands,Afghanistan,36 runs,Doha,21-01-2022
South Africa,India,South Africa,7 wickets,Paarl,21-01-2022
Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,21-01-2022
Afghanistan,Netherlands,Afghanistan,48 runs,Doha,23-01-2022
South Africa,India,South Africa,4 runs,Cape Town,23-01-2022
Afghanistan,Netherlands,Afghanistan,75 runs,Doha,25-01-2022
Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,05-02-2022
Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,06-02-2022
India,West Indies,India,6 wickets,Ahmedabad,06-02-2022
Oman,U.A.E.,tied,-,Al Amerat,08-02-2022
India,West Indies,India,44 runs,Ahmedabad,09-02-2022
India,West Indies,India,96 runs,Ahmedabad,11-02-2022
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,23-02-2022
Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,25-02-2022
Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,28-02-2022
U.A.E.,Oman,Oman,12 runs,ICCA Dubai,05-03-2022
Namibia,Oman,Namibia,110 runs,ICCA Dubai,06-03-2022
U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,08-03-2022
U.A.E.,Oman,Oman,8 runs,ICCA Dubai,09-03-2022
Namibia,Oman,Oman,7 wickets,Sharjah,11-03-2022
U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,12-03-2022
Namibia,Oman,Namibia,5 wickets,Dubai (DSC),14-03-2022
U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,15-03-2022
Nepal,P.N.G.,Nepal,2 wickets,Sharjah,16-03-2022
U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),18-03-2022
South Africa,Bangladesh,Bangladesh,38 runs,Centurion,18-03-2022
U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),19-03-2022
South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,20-03-2022
U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),21-03-2022
Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),22-03-2022
South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,23-03-2022
Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,25-03-2022
Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,26-03-2022
New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,29-03-2022
Pakistan,Australia,Australia,88 runs,Lahore,29-03-2022
Pakistan,Australia,Pakistan,6 wickets,Lahore,31-03-2022
New Zealand,Netherlands,New Zealand,118 runs,Hamilton,02-04-2022
Pakistan,Australia,Pakistan,9 wickets,Lahore,02-04-2022
