Team 1,Team 2,Winner,Margin,Ground,Match Date
Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,12-07-2015
Zimbabwe,India,India,83 runs,Harare,14-07-2015
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,15-07-2015
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,15-07-2015
Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),19-07-2015
Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),22-07-2015
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,26-07-2015
Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,02-08-2015
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,04-08-2015
Zimbabwe,New Zealand,New Zealand,38 runs,Harare,07-08-2015
South Africa,New Zealand,South Africa,20 runs,Centurion,19-08-2015
South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,23-08-2015
South Africa,New Zealand,South Africa,62 runs,Durban,26-08-2015
Ireland,Australia,Australia,23 runs,Belfast,27-08-2015
England,Australia,Australia,59 runs,Southampton,03-09-2015
England,Australia,Australia,64 runs,Lord's,05-09-2015
England,Australia,England,93 runs,Manchester,08-09-2015
England,Australia,England,3 wickets,Leeds,11-09-2015
England,Australia,Australia,8 wickets,Manchester,13-09-2015
Zimbabwe,Pakistan,Pakistan,131 runs,Harare,01-10-2015
Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,03-10-2015
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,05-10-2015
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,09-10-2015
India,South Africa,South Africa,5 runs,Kanpur,11-10-2015
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,11-10-2015
Zimbabwe,Ireland,Ireland,2 wickets,Harare,13-10-2015
India,South Africa,India,22 runs,Indore,14-10-2015
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,16-10-2015
Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,18-10-2015
India,South Africa,South Africa,18 runs,Rajkot,18-10-2015
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,20-10-2015
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,22-10-2015
India,South Africa,India,35 runs,Chennai,22-10-2015
Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,24-10-2015
India,South Africa,South Africa,214 runs,Wankhede,25-10-2015
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),01-11-2015
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),04-11-2015
Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur,07-11-2015
Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,07-11-2015
Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur,09-11-2015
Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur,11-11-2015
England,Pakistan,Pakistan,6 wickets,Abu Dhabi,11-11-2015
England,Pakistan,England,95 runs,Abu Dhabi,13-11-2015
U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,16-11-2015
England,Pakistan,England,6 wickets,Sharjah,17-11-2015
U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,18-11-2015
England,Pakistan,England,84 runs,Dubai (DSC),20-11-2015
Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,25-12-2015
New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,26-12-2015
New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,28-12-2015
Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,29-12-2015
New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,31-12-2015
New Zealand,Sri Lanka,no result,-,Nelson,02-01-2016
Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,02-01-2016
Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,04-01-2016
New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,05-01-2016
Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,06-01-2016
Australia,India,Australia,5 wickets,Perth,12-01-2016
Australia,India,Australia,7 wickets,Brisbane,15-01-2016
Australia,India,Australia,3 wickets,Melbourne,17-01-2016
Australia,India,Australia,25 runs,Canberra,20-01-2016
Australia,India,India,6 wickets,Sydney,23-01-2016
New Zealand,Pakistan,New Zealand,70 runs,Wellington,25-01-2016
Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,26-01-2016
New Zealand,Pakistan,New Zealand,3 wickets,Auckland,31-01-2016
New Zealand,Australia,New Zealand,159 runs,Auckland,03-02-2016
South Africa,England,England,39 runs,Bloemfontein,03-02-2016
New Zealand,Australia,Australia,4 wickets,Wellington,06-02-2016
South Africa,England,England,5 wickets,Gqeberha,06-02-2016
New Zealand,Australia,New Zealand,55 runs,Hamilton,08-02-2016
South Africa,England,South Africa,7 wickets,Centurion,09-02-2016
South Africa,England,South Africa,1 wicket,Johannesburg,12-02-2016
South Africa,England,South Africa,5 wickets,Cape Town,14-02-2016
West Indies,South Africa,West Indies,4 wickets,Providence,03-06-2016
West Indies,Australia,Australia,6 wickets,Providence,05-06-2016
Australia,South Africa,South Africa,47 runs,Providence,07-06-2016
Zimbabwe,India,India,9 wickets,Harare,11-06-2016
Australia,South Africa,Australia,36 runs,Basseterre,11-06-2016
Zimbabwe,India,India,8 wickets,Harare,13-06-2016
West Indies,Australia,West Indies,4 wickets,Basseterre,13-06-2016
Zimbabwe,India,India,10 wickets,Harare,15-06-2016
West Indies,South Africa,South Africa,139 runs,Basseterre,15-06-2016
Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),16-06-2016
Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),18-06-2016
Australia,South Africa,no result,-,Bridgetown,19-06-2016
England,Sri Lanka,tied,-,Nottingham,21-06-2016
West Indies,Australia,Australia,6 wickets,Bridgetown,21-06-2016
England,Sri Lanka,England,10 wickets,Birmingham,24-06-2016
West Indies,South Africa,West Indies,100 runs,Bridgetown,24-06-2016
England,Sri Lanka,no result,-,Bristol,26-06-2016
West Indies,Australia,Australia,58 runs,Bridgetown,26-06-2016
England,Sri Lanka,England,6 wickets,The Oval,29-06-2016
England,Sri Lanka,England,122 runs,Cardiff,02-07-2016
Scotland,Afghanistan,no result,-,Edinburgh,04-07-2016
Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,06-07-2016
Ireland,Afghanistan,Afghanistan,39 runs,Belfast,12-07-2016
Ireland,Afghanistan,Ireland,6 wickets,Belfast,14-07-2016
Ireland,Afghanistan,Afghanistan,79 runs,Belfast,17-07-2016
Ireland,Afghanistan,Ireland,12 runs,Belfast,19-07-2016
Scotland,U.A.E.,Scotland,98 runs,Edinburgh,14-08-2016
Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,16-08-2016
Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),18-08-2016
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),21-08-2016
Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),24-08-2016
England,Pakistan,England,44 runs,Southampton,24-08-2016
England,Pakistan,England,4 wickets,Lord's,27-08-2016
Sri Lanka,Australia,Australia,2 wickets,Dambulla,28-08-2016
England,Pakistan,England,169 runs,Nottingham,30-08-2016
Sri Lanka,Australia,Australia,6 wickets,Dambulla,31-08-2016
England,Pakistan,England,4 wickets,Leeds,01-09-2016
Sri Lanka,Australia,Australia,5 wickets,Pallekele,04-09-2016
England,Pakistan,Pakistan,4 wickets,Cardiff,04-09-2016
Scotland,Hong Kong,no result,-,Edinburgh,08-09-2016
Scotland,Hong Kong,Scotland,53 runs,Edinburgh,10-09-2016
South Africa,Ireland,South Africa,206 runs,Benoni,25-09-2016
Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur,25-09-2016
Australia,Ireland,Australia,9 wickets,Benoni,27-09-2016
Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur,28-09-2016
Pakistan,West Indies,Pakistan,111 runs,Sharjah,30-09-2016
South Africa,Australia,South Africa,6 wickets,Centurion,30-09-2016
Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur,01-10-2016
South Africa,Australia,South Africa,142 runs,Johannesburg,02-10-2016
Pakistan,West Indies,Pakistan,59 runs,Sharjah,02-10-2016
Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,05-10-2016
South Africa,Australia,South Africa,4 wickets,Durban,05-10-2016
Bangladesh,England,England,21 runs,Mirpur,07-10-2016
South Africa,Australia,South Africa,6 wickets,Gqeberha,09-10-2016
Bangladesh,England,Bangladesh,34 runs,Mirpur,09-10-2016
Bangladesh,England,England,4 wickets,Chattogram,12-10-2016
South Africa,Australia,South Africa,31 runs,Cape Town,12-10-2016
India,New Zealand,India,6 wickets,Dharamsala,16-10-2016
India,New Zealand,New Zealand,6 runs,Delhi,20-10-2016
India,New Zealand,India,7 wickets,Mohali,23-10-2016
India,New Zealand,New Zealand,19 runs,Ranchi,26-10-2016
India,New Zealand,India,190 runs,Visakhapatnam,29-10-2016
Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,04-11-2016
Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,06-11-2016
Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,08-11-2016
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,14-11-2016
Sri Lanka,West Indies,West Indies,62 runs,Harare,16-11-2016
Zimbabwe,West Indies,tied,-,Bulawayo,19-11-2016
Zimbabwe,Sri Lanka,no result,-,Bulawayo,21-11-2016
Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,23-11-2016
Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,25-11-2016
Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,27-11-2016
Australia,New Zealand,Australia,68 runs,Sydney,04-12-2016
Australia,New Zealand,Australia,116 runs,Canberra,06-12-2016
Australia,New Zealand,Australia,117 runs,Melbourne,09-12-2016
New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,26-12-2016
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,29-12-2016
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,31-12-2016
Australia,Pakistan,Australia,92 runs,Brisbane,13-01-2017
Australia,Pakistan,Pakistan,6 wickets,Melbourne,15-01-2017
India,England,India,3 wickets,Pune,15-01-2017
Australia,Pakistan,Australia,7 wickets,Perth,19-01-2017
India,England,India,15 runs,Cuttack,19-01-2017
Australia,Pakistan,Australia,86 runs,Sydney,22-01-2017
Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,22-01-2017
India,England,England,5 runs,Eden Gardens,22-01-2017
U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),24-01-2017
Australia,Pakistan,Australia,57 runs,Adelaide,26-01-2017
U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),26-01-2017
South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha,28-01-2017
New Zealand,Australia,New Zealand,6 runs,Auckland,30-01-2017
South Africa,Sri Lanka,South Africa,121 runs,Durban,01-02-2017
South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,04-02-2017
New Zealand,Australia,New Zealand,24 runs,Hamilton,05-02-2017
South Africa,Sri Lanka,South Africa,40 runs,Cape Town,07-02-2017
South Africa,Sri Lanka,South Africa,88 runs,Centurion,10-02-2017
Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,16-02-2017
New Zealand,South Africa,South Africa,4 wickets,Hamilton,19-02-2017
Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,19-02-2017
Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,21-02-2017
New Zealand,South Africa,New Zealand,6 runs,Christchurch,22-02-2017
Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,24-02-2017
New Zealand,South Africa,South Africa,159 runs,Wellington,25-02-2017
Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,26-02-2017
New Zealand,South Africa,New Zealand,7 wickets,Hamilton,01-03-2017
U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,02-03-2017
West Indies,England,England,45 runs,North Sound,03-03-2017
New Zealand,South Africa,South Africa,6 wickets,Auckland,04-03-2017
U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,04-03-2017
