,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
79,Mohammad Wasim (PAK),2023-2023,4*,1,0,7,7,7.00,9,77.77,-,-,-,0,1
81,W Barresi (NED),2023-2023,3,3,0,79,41,26.33,107,73.83,-,-,-,11,1
82,TA Boult (NZ),2023-2023,9,3,2,19,10*,19.00,23,82.6,-,-,-,1,1
83,G Coetzee (SA),2023-2023,7,3,0,35,22,11.66,39,89.74,-,-,-,2,1
84,K Rabada (SA),2023-2023,8,3,1,15,9,7.50,33,45.45,-,-,-,0,1
85,Haris Rauf (PAK),2023-2023,9*,4,2,18,16,9.00,22,81.81,-,-,-,2,1
87,AD Mathews (SL),2023-2023,5,4,0,51,23,12.75,78,65.38,-,-,1,4,1
88,CAK Rajitha (SL),2023-2023,6,4,0,52,33,13.00,57,91.22,-,-,1,6,1
89,SA Yadav (IND),2023-2023,4,4,0,85,49,21.25,74,114.86,-,-,-,11,1
90,MS Chapman (NZ),2023-2023,7,5,1,82,39,20.50,66,124.24,-,-,-,10,1
91,KA Maharaj (SA),2023-2023,9,5,3,55,40,27.50,72,76.38,-,-,-,7,1
92,Mohammad Nabi (AFG),2023-2023,9,6,0,55,19,9.16,76,72.36,-,-,-,3,1
93,Mustafizur Rahman (BAN),2023-2023,8*,6,2,42,20,10.50,89,47.19,-,-,-,4,1
94,Saud Shakeel (PAK),2023-2023,9*,6,0,212,68,35.33,209,101.43,-,2,-,26,1
95,Shoriful Islam (BAN),2023-2023,8,6,5,28,12,28.00,28,100.0,-,-,-,3,1
96,M Theekshana (SL),2023-2023,8,6,2,100,38*,25.00,185,54.05,-,-,2,11,1
98,SPD Smith (AUS),2023-2023,8*,7,0,205,71,29.28,238,86.13,-,1,1,23,1
99,MA Starc (AUS),2023-2023,8,7,0,71,28,10.14,113,62.83,-,-,1,5,1
